Feature,Importance
T+_Dur_V4,0.0007061527643794983
T+_Dur_V2,0.0007048593084498417
Max_S_Amp_aVL,0.0007045349227374968
ST_AmpMin_III,0.0007042735215768515
RR_Mean_Global,0.0007033697878034479
T+_Dur_V3,0.0006987780786704018
T_Area_III,0.0006975074522769591
ST_Amp116_III,0.0006718280465994468
T_Morph_II,0.0006709798226922899
ST_Amp116_aVF,0.0006691634610383406
QT_Int_Global,0.0006560143676702999
ST_AmpMin_aVL,0.0006556817453880177
T_On_Global,0.0006554454387957674
T_Off_aVR,0.0006521077503348348
T_DurFull_II,0.0006516987074471627
P_AxisFront_Global,0.0006476675680503263
T+_Amp_V1,0.0006414482545478901
T_Off_V5,0.0006354184218773606
T_PeakTime_I,0.0006353951538303744
Q_Dur_V3,0.000633262355638415
S_PeakTime_V4,0.0006320120280348074
HR__Global,0.0006316991045446022
S_PeakTime_V3,0.0006309961463727835
T_DurFull_I,0.0006309316493669458
S_PeakTime_V6,0.0006306513880591157
R_PeakTime_V4,0.0006276703083124953
T_PeakTime_V4,0.0006151015885753631
T_Off_V4,0.0006149147178040315
T_PeakTime_aVF,0.0006140588534058936
ST_AmpMin_aVF,0.0006100335229864452
S_PeakTime_V5,0.0006100072959723961
T_DurFull_V5,0.0006085166800261024
P_PeakTime_I,0.0006084657421239159
T_PeakTime_V5,0.0006043580832092903
T_Off_Global,0.0006034521058984648
T_PeakTime_V1,0.0005954925580717477
S_Dur_aVL,0.0005939146590318161
T_PeakTime_II,0.0005928283569726141
T+_Amp_aVF,0.0005915527027824352
HR_Ventr_Global,0.0005900599138067219
HR_Atrial_Global,0.0005843896041705106
T_Dur_III,0.000578566623643571
T_Dur_V4,0.000575670130702019
T_DurFull_aVF,0.0005756321089370078
T_Off_V6,0.0005750140055204434
P_Term_V1,0.0005745286061713506
T_Dur_V2,0.0005734024295920227
T_PeakTime_V2,0.000572459546416932
T_DurFull_V4,0.0005664254530073909
T_PeakTime_aVL,0.0005649528274803402
T_DurFull_V1,0.0005581582042319911
T_PeakTime_III,0.0005579135148597003
T_DurFull_V3,0.0005561761180383086
T_DurFull_V2,0.0005557030520860184
T_Off_V2,0.0005488279872948041
T_Off_V3,0.000545092883274994
S_Area_aVL,0.000544118154504059
T_PeakTime_V3,0.0005439548450000562
R_PeakTime_aVR,0.0005436044752078904
P_OnsAmp_V5,0.0005434318386927143
T_Dur_V3,0.0005422630531584985
P_OnsAmp_V3,0.000538086263589941
T_Off_II,0.0005359491276033552
T_DurFull_III,0.0005223095145978428
T_Dur_aVF,0.0005202213349740104
P_Dur_III,0.0005160476503223479
S_Area_aVR,0.0005157278900297832
T_DurFull_aVL,0.0005152216405950126
P_PeakTime_II,0.0005132897185980254
Q_Dur_aVL,0.0005103402379842592
P_OnsAmp_V2,0.0005083379240299492
Q_Dur_V5,0.0005081955685878419
T_Off_I,0.0005075935450120371
P_Dur_V3,0.0005067706941895746
P_Dur_V1,0.0005059077330647433
T_Off_V1,0.0005026066551443841
T_Off_aVF,0.0005025608817464039
P_PeakTime_aVL,0.0005015173550688294
P_OnsAmp_V4,0.0004964033147960361
Q_Dur_V6,0.0004949051423962653
P_OnsAmp_aVF,0.0004946511385091941
P_OnsAmp_II,0.0004911324948580584
S_PeakTime_aVL,0.0004905643442187122
P_OnsAmp_aVR,0.0004900980813520922
P_PeakTime_aVF,0.000488921810229371
T_Off_III,0.0004875464713892816
P_DurFull_aVF,0.0004865876433883085
T_Dur_aVL,0.0004848832913175327
P_PeakTime_V6,0.0004841618158730919
T+_Amp_aVL,0.0004828345988363423
P_DurFull_aVR,0.0004815149476062007
P_OnsAmp_V1,0.0004814485253752323
P_Dur_I,0.0004790566515719058
P_PeakTime_aVR,0.00047782574278579026
P_Dur_aVR,0.00047544590002102295
T_Off_aVL,0.0004752895499529435
T_Dur_V1,0.0004724604414323059
P_PeakTime_III,0.0004698822335891487
P_Dur_aVL,0.0004684604028570259
P_Dur_V2,0.00046734114607892453
P_Dur_Global,0.00046204778659264355
P+_Dur_III,0.00045921166235750376
T+_Dur_V1,0.0004586713677462588
P_PeakTime_V1,0.0004540201828256587
P_Dur_V4,0.0004523217882166305
P_PeakTime_V5,0.0004515629141635991
Q_PeakTime_V3,0.0004513805682224676
P_DurFull_V2,0.00045096015752657737
P_Dur_aVF,0.00045032392791073743
P_OnsAmp_III,0.0004501072148528102
P+_Dur_V1,0.00044924564484331446
P_OnsAmp_aVL,0.00044883207717148386
P_OnsAmp_I,0.0004477118893809579
P_DurFull_V1,0.00044410688543546507
Pp_Dur_V1,0.00044328217616250947
T-_Dur_aVL,0.0004416209735092636
P+_Dur_V3,0.0004394722280631019
P_PeakTime_V4,0.00043915369645375167
Q_Amp_V3,0.00043830504054346057
P_DurFull_III,0.0004375821132981411
P+_Dur_I,0.0004372410056120025
P-_Dur_aVR,0.0004337424505873315
T+_Amp_III,0.00043151288893696906
P_DurFull_aVL,0.00042744885502492204
P+_Dur_aVF,0.0004247901437561287
P_Dur_V5,0.0004234451119491842
S_Amp_aVR,0.00042228949749432455
P_DurFull_V3,0.00042204839158877265
T+_Dur_aVL,0.00042099533875613134
P_DurFull_V6,0.000419329495809346
P_DurFull_V4,0.0004192787430623024
P+_Dur_V2,0.0004170999469417529
P+_Dur_aVL,0.00041652017500344455
T-_Amp_V1,0.0004156474704739678
P_DurFull_II,0.0004145989712300196
P_Dur_II,0.0004139301912101658
P-_Dur_V1,0.00041270184970771225
P_PeakTime_V3,0.00041229980199589795
P_DurFull_I,0.0004115717040937827
T-_Dur_aVF,0.0004108978796017614
T-_Amp_aVL,0.0004105399193513399
P+_Dur_V4,0.0004088863991246241
P_OnsAmp_V6,0.0004054807524533186
P_DurFull_V5,0.00039563548506371904
P-_Dur_aVL,0.0003924807025468784
T+_Dur_III,0.0003914021255636902
Q_Dur_I,0.00038183786554819377
P_Dur_V6,0.0003812144146439906
P_PeakTime_V2,0.0003755106174451788
P+_Dur_II,0.0003695943349394786
Pp_PeakTime_V1,0.00036559807773611856
S_PeakTime_aVR,0.00036369877752222876
S_Dur_aVR,0.0003628259510643377
T-_Amp_aVF,0.00035935321803320144
Q_PeakTime_aVL,0.00035769012409325924
P+_Dur_V5,0.0003565874022734126
T-_Amp_V4,0.00034874673877495965
QRS_Count_Global,0.00034376161842933535
P+_Dur_V6,0.0003395287321797651
Q_Dur_V4,0.00033224462838885895
T-_Amp_III,0.0003243619713205752
T-_Dur_III,0.0003145240552770613
Q_PeakTime_V6,0.0003113802805179051
Q_PeakTime_I,0.00030987358769064355
Q_PeakTime_V5,0.0003065069684127404
Q_PeakTime_V4,0.0002886406711666919
P-_Dur_V2,0.0002867135576454766
T-_Dur_V1,0.00028322402328821787
T-_Amp_V3,0.00028229706721873355
Pp_Dur_aVL,0.0002780968916041368
Pp_PeakTime_aVL,0.00027402926263125443
T-_Amp_V2,0.0002644560895956422
Q_Area_V4,0.00026156947250087313
P-_Dur_III,0.0002445840274691406
T-_Dur_V4,0.00024373252224413246
Pp_Dur_V2,0.00023514010082188112
T-_Dur_V2,0.0002334189454999034
T-_Dur_V3,0.00021571214965782353
Pp_PeakTime_V2,0.00021510020183385093
